사업장명,id
호박이네,1384138293
돈게도라,1363623902
산과들신제주점,0000
토대력,0000
금호훼밀리호텔구내오형제손짜장,0000
아이린,0000
한수포차제주연동점,0000
에르메술,0000
제주창스닥,20812583
페리카나신제주점,11800421
꿀꿀이식당,1172580281
맛스타,1614319824
소,0000
노가리앤비어연동점,137787178
사천요리,0000
디디치킨연동점,1192170404
댜오위다오,0000
신주양꼬치제주점,37491905
뼈감만족,1309236984
낙지골목,38710884
정우말가든,11730676
주사랑,0000
히아담,1996719245
레드제플린,1043628601
란주우육면,0000
큰동네국수,32162885
제노티카,1898424349
짝치즈등갈비,1835311523
갈비아빠,1025284968
래고라이브,0000
맵수다,19879656
왕대포연동점,0000
유카페,0000
제주살사마르,1207209816
탕1988,0000
담,0000
고기중독,19562089
설맥연동점,1919298658
세븐스타,0000
조은이웃구이집,16841283
라지마할,13449128
삼다가,16828576
더캐슬,0000
은행나무집,0000
진돼지,1703010786
만타스시31앤이자카야연동점,0000
포35,1868753186
헤이국밥,1756911517
델리시우,1395165985
일용이네,16840388
등불,20982123
더골드,0000
대도식당연동점,0000
한솥도시락제주연동대림점,19893110
팔플러스퓨전중식,0000
천하일품,16843366
일등급한식,0000
자작나무,0000
달리자서울포차연동점,1196178753
돈후명가,1967654629
혼고,85539935
규태네,0000
예쁜술자리,1669601369
스바루,16830398
카사베라,19550905
참새와방앗간,0000
민들레식탁,0000
황소곱창,0000
최가네옛날손두부집,1604899080
민성이네식당,1343435030
케이관광호텔식당,0000
레드팬더,36340365
신라스테이제주바(BAR),0000
신라스테이제주카페(CAFE),37402196
레스토랑더원,0000
더원앤바,0000
카사블랑카,0000
팔팔돼지,35014081
제주공항본점공항뚝배기,1682686371
노랑통닭,0000
민우네국수,506318261
미라클라이브카페,36938062
전주이모네,38276177
설빙신제주직영점,35026358
가완,17012822
쭈꾸쭈꾸쭈꾸미,21846327
바코드,0000
짬뽕에취한날,38276267
흑마가든,13431876
연동한라국시,38710894
씨티호텔구내,0000
유행,0000
우리아시가게글라,1223201063
청해회센타,1766191080
제주밥상,11616927
손사장네행복하소,0000
오르방,1632801793
소담돈까스,0000
조가네회세꼬시,1782785866
제주코아호텔구내,0000
동화로연탄구이2,0000
바삭돈가스,108411407
큰언니네이층집,1933481580
김밥천국신연동점,34942092
퀸,0000
아우라,0000
산우정,32163732
한라산해장국,1213036751
노가리앤비어연동3호점,1082951734
벨라,0000
돈까스튀기는서대리,0000
오동통,1890262821
제주어멍국수본점,1405102920
경애관,16835152
명자네분식,1588708438
쨍하고회뜰날,21378063
갈래길국수,32037112
플렉스,0000
대한식당신시가지점,1172597767
정겨운수제비,1825856874
갈비아빠2,0000
오니,0000
제주대통,1557927077
긴자,0000
중화루,0000
갤러리호텔비앤비,521690457
문워크,1463804476
딜라익스프레스신제주점,1122593933
우리양,346486009
톡순,411368326
천하장사뷔페,170096630
청보리,0000
더라운지,0000
더오크라구내,0000
바나나껍데기,1092135257
연포낙지,12024971
우도스토리,37100133
이브3호점,0000
옛집,0000
바코드나인,877306512
쿠야,1548944577
황금돼지,0000
서촌제한라수목원점,1967726445
오늘와인한잔,0000
부산할매아구찜신제주점,16850756
짱갈비04,11569394
주식회사 옥만이네한라수목원,0000
양푼속닭한마리,36151786
형제갈비신제주점,1489964487
나눔마당,1430918987
곰솔과맹개,21351420
주식회사일품순두부본점,0000
깡부대찌개,1509865336
헬로우프렌드,21758768
코지오베르쥬,616026406
신신낙지,1196539280
심야식당낭만혼술,1048542402
30년일소추어탕,1248702570
제주섬신룽푸마라탕,1265062106
야식돼지,1904135395
청송도시락식당,11636115
홀인원스크린골프구내,0000
엄마손,0000
위아굿프렌즈,19807542
고고짬뽕2호점연동점,0000
아주좋아,35503111
죽이야기제주연동점,1123547311
하얼빈양꼬치,0000
케이백,0000
규방,1967213818
다이아,0000
달소금,1173127580
쁠리,673573694
이화닭발1979,36834364
공항가는길무인카페,0000
옥이네복돼지,1573885970
호맥,0000
예림,0000
서울뚝배기,21440506
추억의쉘부르,16842634
만리장성,0000
옥희연동점,1587298748
구구단,0000
야우,1633311262
클로이,0000
신제주연동,11799552
황가네뚝배기,1328414183
참돼지깡통구이,0000
청산에살자제주본점,0000
정박사본점,1886143381
키로,1519481500
일공공샤브제주연동점,1702372502
그린기사,33933530
고모네,0000
신대로12길,1656569225
술한상,1121722503
킹흑돼지,32041685
창석이네,16843868
새빛,0000
고바,0000
미짬뽕,0000
귀아낭,1123577349
로우허판,654375866
금자매포차,1165998291
라운딩,37914535
투다리노형점,11762356
엉아크랩쭈이빵,34713993
줌마식당,35915841
정직한통닭코스모스점,37656851
인스,0000
고성장수물,0000
소문난먹거리,1440226514
사랑터,0000
배두리광장,1749250752
아삼육,1335097896
한라생얼큰이연동점,1909196339
전주콩나루콩나물국밥신제주점,12762007
다미순대,1128048335
호프앤프랜즈,0000
피오레,0000
우디,0000
미복,0000
대마족발,0000
해피해피데이,0000
금별맥주제원점,0000
김명자굴국밥,0000
신농,36215418
미코,0000
국수만찬,12755193
돛배,0000
차돈,0000
루비,0000
레몬트리,0000
토크쇼연동2호점,846153296
유레카,0000
참좋다,17013974
연동계수나무집,16848156
숯불이동,0000
제주청정원한우마당,38710932
소리원,31981766
평강,0000
엠츄로,36905445
재현이네갈비,1552846425
위플1호점,0000
글램바,1926533150
라라카페,0000
모수,0000
일드뱅,11886991
송쿠쉐,37386625
즉석,0000
칭따오객잔,16828871
흠염요리,1609029707
비에이치씨연동점,37559033
비어제이,37366141
일박이일,0000
풍촌,16834953
제원목포세발낙지,0000
노연동국밥2호점,38710869
흥미,32162522
민재네황태전문점,20054631
스크루지펍2,1872093739
여우비,0000
경상도아지매,35205961
유리네,0000
러브도채비,1249262603
연화밥상,1932261464
로얄고기국수,0000
제주맛동산칼국수,1270732265
빌라누스,1669594268
다해,0000
아취,1115350343
썬랜드호텔구내식당,0000
더팔당제주,1244360056
인쌩맥주제주연동점,1926808972
제원칼집,1137702496
서귀포모녀식당,37636214
제3공간,1543424083
망고홀릭제주본점,36244879
장모님밥상,0000
제주곱,1242373226
33떡볶이신연동점,1407651143
투다리연동점,11763076
핫쿵푸마라탕연동점,1608472889
달콤한닭강정연동점,32037763
돈킹스,1941838456
본죽앤비빔밥까페제주연동점,1828888782
범맥주제주연동점,1161158660
하몽돼지,1134574701
돈떵이,30834972
미풍해장국연동점,1165135794
느리게걷기,0000
연동본가연동점,0000
서서방숯불닭갈비,1979345055
유미카츠 연동점,0000
고집순두부연동본점,0000
꽃담,0000
일품순두부도청점,0000
수라상,0000
쿠잉,0000
혼밥대왕신제주점,1554812601
치킨신드롬신제주점,1013545557
낚시꾼,1945231274
참닭갈비신제주점,16837174
산지물신제주점,19987020
도르라갈비,1874375407
이국향,0000
연동마라도,1848251723
셔츠,0000
미나리,0000
살롱,0000
가이아,0000
목포홍탁집,0000
이가촌,37392939
삼대국수회관신제주점,16830862
자연뜨락,16851316
아사히,0000
옥희연동,1587298748
제이,0000
교촌치킨제주1호,11802560
부산서면양곱창분점,1666247568
진홍식당,1900168581
희양양연동점,1575929077
동네마당,0000
티바두마리치킨연동점,1425708653
올레가면탁이국수,0000
무허가집,1290778740
떡볶이참잘하는집떡참제주연동노형점,0000
서울정식뷔페,0000
그램그램연동점,0000
언덕위에,20603100
불닭발땡초동대문엽기떡볶이신제주점,0000
신성할망,32162520
괸당집신제주점,1088142357
