사업장명,도로명전체주소
봉플라봉뱅,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)"
스톤아일랜드탭하우스,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)"
연화양꼬치,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)"
24시누름돌김치찌개,"제주특별자치도 제주시 노연로 146, 1층 (연동)"
미연이네집,"제주특별자치도 제주시 삼무로7길 34, 삼무주택 1층 (연동)"
영화루,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)"
성두길일오포차,"제주특별자치도 제주시 성두길 15, 1층 (연동)"
앤드앤드,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)"
티엔미미,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)"
아하,"제주특별자치도 제주시 은남1길 31, 3층 (연동)"
젠틀래빗제주연동점,"제주특별자치도 제주시 연동12길 4, 15층 (연동)"
신제주황가네,"제주특별자치도 제주시 은남3길 28, 1층 (연동)"
가나포차,"제주특별자치도 제주시 신대로20길 46, 지하1층 (연동, 연동가나휘닉스1)"
꼬지사께연동점,"제주특별자치도 제주시 국기로4길 1, 1층 (연동)"
서머셋,"제주특별자치도 제주시 삼무로 66, 1층 (연동)"
때지국수,"제주특별자치도 제주시 신광로8길 3, 1층 (연동)"
연동혼떡,"제주특별자치도 제주시 신대로12길 51, 로얄쇼핑센타및오피스텔 지하2층 20호 (연동)"
오키니,"제주특별자치도 제주시 연화로2길 8, 1층 (연동)"
돈삼겹한라점,"제주특별자치도 제주시 연화로 51, 1층 (연동)"
오족누와오과누,"제주특별자치도 제주시 신광로 103, 신제주오피스텔 1층 105호 (연동)"
곰돌이숯불갈비,"제주특별자치도 제주시 일주서로 7852, 1층 (연동)"
호야네집,"제주특별자치도 제주시 연화로1길 6-1, 1층 (연동)"
맛깔참죽신제주점,"제주특별자치도 제주시 도령로 111, 1층 (연동, 진호뉴캐슬)"
똥광,"제주특별자치도 제주시 신대로19길 13-1, 1층 (연동)"
메종글래드제주부처,"제주특별자치도 제주시 노연로 80, 메종글래드 제주 1층 (연동)"
명호,"제주특별자치도 제주시 신대로12길 15, 1층 (연동)"
역전할머니맥주연동점,"제주특별자치도 제주시 노연로 108, 1층 (연동)"
곱창이야기연동점,"제주특별자치도 제주시 신대로14길 43, 1층 (연동)"
빼어날수,"제주특별자치도 제주시 연동6길 11, 1층 (연동)"
동궁찜닭,"제주특별자치도 제주시 성신로1길 21, 1층 (연동)"
넝쿨하눌연동,"제주특별자치도 제주시 신대로7길 17, 1층 (연동)"
커피마마제주연동점,"제주특별자치도 제주시 연동7길 8, 1층 (연동)"
수목이네,"제주특별자치도 제주시 연오로 6, 1층 (연동)"
또온다곱창,"제주특별자치도 제주시 은남길 30, 1층 (연동)"
국밥앤몸국전문점,"제주특별자치도 제주시 삼무로 72, 1층 (연동)"
여인천하,"제주특별자치도 제주시 신대로16길 43, 광성빌딩 2층 (연동)"
세련대게,"제주특별자치도 제주시 노연로 106, 1층 제1호 (연동)"
신제주치킨하우스,"제주특별자치도 제주시 신대로6길 11 (연동,(성두1로15))"
연동송림,"제주특별자치도 제주시 신대로14길 34 (연동,(연중4로50))"
하영올레,제주특별자치도 제주시 연동3길 34 (연동)
우동사발,제주특별자치도 제주시 삼무로11길 24 (연동)
제주노조미,"제주특별자치도 제주시 국기로2길 2-3, 1층 (연동)"
주식회사제주피자헛지점,제주특별자치도 제주시 삼무로 78 (연동)
미담,"제주특별자치도 제주시 선덕로3길 28, 1층 (연동)"
가나안,"제주특별자치도 제주시 연화로1길 18 (연동,(연화2로28))"
자리돔전문점,"제주특별자치도 제주시 신대로18길 39 (연동,(사장2로65))"
벤틀리,"제주특별자치도 제주시 연동9길 3, 1층 (연동)"
애향포차,제주특별자치도 제주시 신대로10길 55 (연동)
터보,"제주특별자치도 제주시 신광로 82, 6층 (연동)"
사광,"제주특별자치도 제주시 과원북4길 86 (연동,(과원3로96))"
연동바다장어,제주특별자치도 제주시 삼무로3길 24 (연동)
금정무산시도삭면,제주특별자치도 제주시 제원3길 11 (연동)
또올래,"제주특별자치도 제주시 삼무로3길 14 (연동,(성두5로22))"
라움호텔,제주특별자치도 제주시 신광로10길 1 (연동)
명품대게회타운,제주특별자치도 제주시 삼무로3길 22-1 (연동)
삼성혈해물탕,제주특별자치도 제주시 선덕로5길 20 (연동)
의정,"제주특별자치도 제주시 연동7길 26 (연동,(은남5로34))"
장춘육당,"제주특별자치도 제주시 신대로10길 36, 1층 (연동)"
루팡,제주특별자치도 제주시 신대로10길 49-1 (연동)
소담,제주특별자치도 제주시 신대로15길 2 (연동)
보배반점제주도청점,"제주특별자치도 제주시 귀아랑길 13, 1층 (연동)"
아모르,"제주특별자치도 제주시 신광로10길 22, 2층 (연동)"
이모횟집,"제주특별자치도 제주시 도령로11길 26-5, 108호 (연동)"
한빛,"제주특별자치도 제주시 연동8길 8 (연동,(도호1로10))"
연동탑부평,"제주특별자치도 제주시 신대로18길 16 (연동,삼다연동맨션102호(사장2로26))"
토크쇼신제주점,"제주특별자치도 제주시 신대로20길 22, 1층 (연동)"
몰디브,제주특별자치도 제주시 삼무로3길 14 (연동)
써니,"제주특별자치도 제주시 연동10길 13 (연동,(도호2로19))"
가을,"제주특별자치도 제주시 귀아랑길 27 (연동,(연문1로33))"
해빈촌,"제주특별자치도 제주시 신광로10길 26 (연동,(송천1로36))"
코리아나호텔구내,"제주특별자치도 제주시 은남길 37 (연동,(은남1로8))"
맛동산,"제주특별자치도 제주시 신대로12길 51 (연동,(연중2로71))"
파도국수,"제주특별자치도 제주시 신대로15길 2, 1층 (연동)"
평화가든,"제주특별자치도 제주시 신대로20길 50 (연동,(사장4로76))"
천미르,"제주특별자치도 제주시 신광로8길 5 (연동,(지하1층))"
제원삼계탕,"제주특별자치도 제주시 제원길 16 (연동,(연제1로22))"
해피소울라운지,"제주특별자치도 제주시 신광로10길 27, 지하1층 (연동)"
영건,"제주특별자치도 제주시 신대로16길 44 (연동,(연중6로23))"
고슬,"제주특별자치도 제주시 문송길 22, 1층 (연동)"
연동대복관,제주특별자치도 제주시 신대로 126 (연동)
쎌빠연동점,"제주특별자치도 제주시 신대로14길 50, 2층 (연동)"
제주영재숯불,제주특별자치도 제주시 신광로10길 23 (연동)
디케이치킨신제주점,제주특별자치도 제주시 은남3길 34 (연동)
신제주명동보쌈,"제주특별자치도 제주시 연화중길 13, 1층 (연동)"
인동마을7080,제주특별자치도 제주시 삼무로 61 (연동)
모이세신제주로타리점,"제주특별자치도 제주시 귀아랑길 31 (연동,(연문1로37))"
