사업장명,식당id,업종구분소분류,상세영업상태명,소재지전체주소,도로명전체주소,도로명우편번호,시도,시도_시군구,시군구,시도_시군구_읍면동,읍면동,시도코드,시군구코드,읍면동코드
봉플라봉뱅,1713847517,기타,영업,제주특별자치도 제주시 연동 312-57번지 정인하우스,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",63122.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
스톤아일랜드탭하우스,1244422132,기타,영업,제주특별자치도 제주시 연동 280-37,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",63118.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
연화양꼬치,1482063535,중국식,영업,제주특별자치도 제주시 연동 276-3,"제주특별자치도 제주시 연동8길 28, 1층 105,106호 (연동)",63136.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
24시누름돌김치찌개,1028483996,기타,영업,제주특별자치도 제주시 연동 304-3,"제주특별자치도 제주시 노연로 146, 1층 (연동)",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
영화루,1109507832,중국식,영업,제주특별자치도 제주시 연동 304-37,"제주특별자치도 제주시 사장길 15-1, 1층 (연동)",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
앤드앤드,1308340997,기타,영업,제주특별자치도 제주시 연동 256-10번지 뉴전원빌라,"제주특별자치도 제주시 연동4길 28-16, 1층 102호 (연동, 뉴전원빌라)",63137.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
티엔미미,1982849089,기타,영업,제주특별자치도 제주시 연동 253-13번지,"제주특별자치도 제주시 연동4길 8, 1,2층 (연동)",63132.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
젠틀래빗제주연동점,1058918788,패밀리레스트랑,영업,제주특별자치도 제주시 연동 284-9,"제주특별자치도 제주시 연동12길 4, 15층 (연동)",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
신제주황가네,1851516741,기타,영업,제주특별자치도 제주시 연동 283-28번지,"제주특별자치도 제주시 은남3길 28, 1층 (연동)",63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
가나포차,1486767096,기타,영업,제주특별자치도 제주시 연동 275-6 연동가나휘닉스1,"제주특별자치도 제주시 신대로20길 46, 지하1층 (연동, 연동가나휘닉스1)",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
꼬지사께연동점,1724692106,기타,영업,제주특별자치도 제주시 연동 1523-3번지,"제주특별자치도 제주시 국기로4길 1, 1층 (연동)",63139.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
서머셋,1864199529,경양식,영업,제주특별자치도 제주시 연동 292-3,"제주특별자치도 제주시 삼무로 66, 1층 (연동)",63124.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
때지국수,32162280,분식,영업,제주특별자치도 제주시 연동 262-10,"제주특별자치도 제주시 신광로8길 3, 1층 (연동)",63131.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
오키니,1301939205,일식,영업,제주특별자치도 제주시 연동 1527-3번지,"제주특별자치도 제주시 연화로2길 8, 1층 (연동)",63140.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
돈삼겹한라점,1542133287,식육(숯불구이),영업,제주특별자치도 제주시 연동 1526-1,"제주특별자치도 제주시 연화로 51, 1층 (연동)",63140.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
오족누와오과누,1657006763,기타,영업,제주특별자치도 제주시 연동 276-9 신제주오피스텔,"제주특별자치도 제주시 신광로 103, 신제주오피스텔 1층 105호 (연동)",63136.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
곰돌이숯불갈비,1190841744,한식,영업,제주특별자치도 제주시 연동 2303-3,"제주특별자치도 제주시 일주서로 7852, 1층 (연동)",63127.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
호야네집,1124519186,한식,영업,제주특별자치도 제주시 연동 1512-2,"제주특별자치도 제주시 연화로1길 6-1, 1층 (연동)",63140.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
맛깔참죽신제주점,1696751915,한식,영업,제주특별자치도 제주시 연동 2331-7 진호뉴캐슬 101호,"제주특별자치도 제주시 도령로 111, 1층 (연동, 진호뉴캐슬)",63126.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
똥광,1729634294,기타,영업,제주특별자치도 제주시 연동 315-5,"제주특별자치도 제주시 신대로19길 13-1, 1층 (연동)",63134.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
곱창이야기연동점,1937074419,기타,영업,제주특별자치도 제주시 연동 273-29번지,"제주특별자치도 제주시 신대로14길 43, 1층 (연동)",63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
넝쿨하눌연동,1453068165,한식,영업,제주특별자치도 제주시 연동 310-16번지,"제주특별자치도 제주시 신대로7길 17, 1층 (연동)",63119.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
커피마마제주연동점,460063916,경양식,영업,제주특별자치도 제주시 연동 272-50번지,"제주특별자치도 제주시 연동7길 8, 1층 (연동)",63124.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
수목이네,1405700095,한식,영업,제주특별자치도 제주시 연동 320-38번지,"제주특별자치도 제주시 연오로 6, 1층 (연동)",63120.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
또온다곱창,1073290948,기타,영업,제주특별자치도 제주시 연동 293-59번지,"제주특별자치도 제주시 은남길 30, 1층 (연동)",63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
신제주치킨하우스,32161480,한식,영업,제주특별자치도 제주시 연동 290-49번지 (성두1로15),"제주특별자치도 제주시 신대로6길 11 (연동,(성두1로15))",63118.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
하영올레,1968811948,한식,영업,제주특별자치도 제주시 연동 252-72,제주특별자치도 제주시 연동3길 34 (연동),63131.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
우동사발,1245851448,중국식,영업,제주특별자치도 제주시 연동 291-121번지,제주특별자치도 제주시 삼무로11길 24 (연동),63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
제주노조미,1464060205,한식,영업,제주특별자치도 제주시 연동 1501-15,"제주특별자치도 제주시 국기로2길 2-3, 1층 (연동)",63139.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
자리돔전문점,37838283,한식,영업,제주특별자치도 제주시 연동 284-21 (사장2로65),"제주특별자치도 제주시 신대로18길 39 (연동,(사장2로65))",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
애향포차,261457222,한식,영업,제주특별자치도 제주시 연동 271-2,제주특별자치도 제주시 신대로10길 55 (연동),63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
터보,31113801,호프/통닭,영업,제주특별자치도 제주시 연동 263-9,"제주특별자치도 제주시 신광로 82, 6층 (연동)",63132.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
사광,34840784,한식,영업,제주특별자치도 제주시 연동 1481-4번지 (과원3로96),"제주특별자치도 제주시 과원북4길 86 (연동,(과원3로96))",63139.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
라움호텔,11759195,한식,영업,제주특별자치도 제주시 연동 268번지,제주특별자치도 제주시 신광로10길 1 (연동),63137.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
명품대게회타운,1567169484,한식,영업,제주특별자치도 제주시 연동 291-8,제주특별자치도 제주시 삼무로3길 22-1 (연동),63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
삼성혈해물탕,1051028182,한식,영업,제주특별자치도 제주시 연동 312-27,제주특별자치도 제주시 선덕로5길 20 (연동),63122.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
의정,32161688,한식,영업,제주특별자치도 제주시 연동 273-4번지 (은남5로34),"제주특별자치도 제주시 연동7길 26 (연동,(은남5로34))",63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
장춘육당,1256629286,한식,영업,제주특별자치도 제주시 연동 281-6,"제주특별자치도 제주시 신대로10길 36, 1층 (연동)",63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
보배반점제주도청점,1547409916,한식,영업,제주특별자치도 제주시 연동 310-13,"제주특별자치도 제주시 귀아랑길 13, 1층 (연동)",63119.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
이모횟집,1652170687,식육(숯불구이),영업,제주특별자치도 제주시 연동 2313-3번지,"제주특별자치도 제주시 도령로11길 26-5, 108호 (연동)",63126.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
연동탑부평,32160893,한식,영업,제주특별자치도 제주시 연동 294-46번지 삼다연동맨션102호(사장2로26),"제주특별자치도 제주시 신대로18길 16 (연동,삼다연동맨션102호(사장2로26))",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
토크쇼신제주점,171046848,호프/통닭,영업,제주특별자치도 제주시 연동 295-2번지,"제주특별자치도 제주시 신대로20길 22, 1층 (연동)",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
해빈촌,19509280,복어취급,영업,제주특별자치도 제주시 연동 255-10번지 (송천1로36),"제주특별자치도 제주시 신광로10길 26 (연동,(송천1로36))",63132.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
맛동산,1227886654,한식,영업,제주특별자치도 제주시 연동 272-33번지 (연중2로71),"제주특별자치도 제주시 신대로12길 51 (연동,(연중2로71))",63124.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
파도국수,1058637185,한식,영업,제주특별자치도 제주시 연동 303-29,"제주특별자치도 제주시 신대로15길 2, 1층 (연동)",63122.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
평화가든,16835097,한식,영업,제주특별자치도 제주시 연동 275-4 (사장4로76),"제주특별자치도 제주시 신대로20길 50 (연동,(사장4로76))",63133.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
제원삼계탕,16823890,탕류(보신용),영업,제주특별자치도 제주시 연동 261-60 (연제1로22),"제주특별자치도 제주시 제원길 16 (연동,(연제1로22))",63129.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
해피소울라운지,1318160089,까페,영업,제주특별자치도 제주시 연동 256-2,"제주특별자치도 제주시 신광로10길 27, 지하1층 (연동)",63137.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
고슬,1817375431,한식,영업,제주특별자치도 제주시 연동 302-10,"제주특별자치도 제주시 문송길 22, 1층 (연동)",63122.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
연동대복관,32161831,중국식,영업,제주특별자치도 제주시 연동 303-13번지,제주특별자치도 제주시 신대로 126 (연동),63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
제주영재숯불,38275950,식육(숯불구이),영업,제주특별자치도 제주시 연동 256-5,제주특별자치도 제주시 신광로10길 23 (연동),63137.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
디케이치킨신제주점,1352896065,식육(숯불구이),영업,제주특별자치도 제주시 연동 283-35,제주특별자치도 제주시 은남3길 34 (연동),63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
신제주명동보쌈,16839089,식육(숯불구이),영업,제주특별자치도 제주시 연동 1515-9,"제주특별자치도 제주시 연화중길 13, 1층 (연동)",63140.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
인동마을7080,1967722975,한식,영업,제주특별자치도 제주시 연동 281-28,제주특별자치도 제주시 삼무로 61 (연동),63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
토크쇼코스모스점,529615518,호프/통닭,영업,제주특별자치도 제주시 연동 303-37,제주특별자치도 제주시 노연로 147 (연동),63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
엉덩물,16843111,횟집,영업,제주특별자치도 제주시 연동 291-116번지 (성두3로21),"제주특별자치도 제주시 성두길 7-7 (연동,(성두3로21))",63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
김밥천국연동점,16824075,김밥(도시락),영업,제주특별자치도 제주시 연동 273-1,제주특별자치도 제주시 신광로 47 (연동),63123.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
강촌숯불닭갈비제주본점,1932795932,호프/통닭,영업,제주특별자치도 제주시 연동 272-38,"제주특별자치도 제주시 신대로14길 50, 1층 (연동)",63124.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
보롬왓국수,1253426261,분식,영업,제주특별자치도 제주시 연동 281-14,제주특별자치도 제주시 삼무로3길 32 (연동),63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
순창갈비,1108531009,식육(숯불구이),영업,제주특별자치도 제주시 연동 261-56 (제원2로21),"제주특별자치도 제주시 신광로4길 11 (연동,(제원2로21))",63129.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
동이트는집신제주점,13444846,한식,영업,제주특별자치도 제주시 연동 282-22,제주특별자치도 제주시 연동9길 13 (연동),63124.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
중원(반점),32164019,중국식,영업,제주특별자치도 제주시 연동 271-24,"제주특별자치도 제주시 삼무로 49, 1층 (연동)",63125.0,제주특별자치도,제주특별자치도 제주시,제주시,제주특별자치도 제주시 연동,연동,5000000000,5011000000,5011013700
