word,count
좋다,342
맛있다,337
회,243
친절하다,213
신선하다,150
맛,114
음식,107
사장,101
방문,101
싱싱하다,98
있다,91
서비스,81
뷰,81
직원,78
매운탕,76
또,75
정말,74
코스,72
이다,66
곳,62
많다,59
제주도,58
회도,56
예약,54
바다,54
깔끔하다,52
진짜,52
갈치,52
다음,51
식사,48
같다,48
여행,46
해산물,44
없다,42
것,41
고등,40
어회,39
다시,36
만족하다,36
가족,36
추천,35
양도,35
최고,34
기분,34
맛집,32
굿,32
양,30
튀김,30
모두,30
더,29
횟집,29
가격,28
횟감,28
하나,28
배,27
제주,27
만원,27
때,26
고등어,26
재,25
수,25
짐,24
처음,24
서귀포,24
손님,24
스끼다시,24
메뉴,24
인,22
가게,22
앞,21
배부르다,21
다양하다,21
꼭,21
완전,20
요,20
식당,20
식감,19
사진,19
아니다,19
층,19
네이버,19
만족,18
부모님,18
비싸다,18
바로,18
여기,18
역시,18
깨끗하다,18
명,17
분,17
그렇다,17
구성,17
비리다,17
마지막,17
주시,17
리뷰,17
청결하다,16
메인,16
동해,16
별로,16
괜찮다,15
소주,15
점,15
조금,15
아주,15
좀,15
제,15
정도,15
아쉽다,15
내부,15
미락,14
분위기,14
재료,14
친절,14
보고,14
친구,14
스끼,13
기억,13
모시,13
편하다,13
전,13
요리,13
주문,13
아이,13
입,13
돈,12
먹기,12
회랑,12
가성,12
맘,12
생선,11
만,11
끝내주다,11
종류,11
저녁,11
좋아하다,11
감동,11
제일,11
알차다,11
등,11
술,10
담,10
만족스럽다,10
의사,10
이서,10
말,10
바닷가,10
저희,10
식,10
생각,10
다른,10
알뜰,10
세트,10
다금바리,10
굉장하다,10
음료,9
쫄깃,9
입안,9
병,9
주차,9
밑반찬,9
전복,9
거,9
지인,9
창가,9
예술,9
비,9
고소하다,9
근처,9
중,9
이번,9
전망,9
뭐,9
아깝다,8
해물,8
집,8
그냥,8
추가,8
정갈하다,8
글,8
추억,8
여러가지,8
찬,8
기본,8
두번째,8
가면,8
자주,8
한번,8
행복하다,8
초밥,8
단체,8
짱,8
즐겁다,8
비리,8
돔,8
신경,8
테이블,8
대비,8
볶음밥,8
모든,7
번,7
이상,7
경치,7
벵에돔,7
포장,7
반찬,7
자리,7
다르다,7
코로나,7
미리,7
해도,7
번창,7
모임,7
사람,7
그,7
용,7
스키,7
시간,7
입맛,6
특,6
시원하다,6
오션,6
접시,6
위치,6
둘,6
무엇,6
한라산,6
끼리,6
훌륭하다,6
위생,6
항상,6
밥,6
안,6
매우,6
저,6
예쁘다,6
해주시,6
날,6
거기,6
기대,6
후회,6
전혀,6
걱정,6
개인,6
가지,6
한잔,6
느낌,6
혼자,6
응대,6
동해미락,5
감사,5
선택,5
바쁘다,5
계속,5
부족하다,5
음료수,5
해,5
팅,5
적당하다,5
정방폭포,5
회로,5
멍게,5
쫀득,5
검색,5
전체,5
심하다,5
일단,5
후,5
보,5
부드럽다,5
불리,5
강추,5
배려,5
나중,5
특별하다,5
덥다,5
새우,5
간,5
보통,5
구이,5
마음,5
그릇,5
이,5
다만,5
숙소,5
여전하다,5
무료,5
대박,5
활,4
휴가,4
살살,4
시기,4
육지,4
아기,4
착하다,4
솔직하다,4
스페셜,4
예정,4
락,4
걸,4
고급,4
알,4
주변,4
인심,4
모듬회,4
제대로,4
둘이서,4
외,4
퀄리티,4
후기,4
음,4
스,4
얇다,4
이모,4
환상,4
고민,4
호텔,4
늘,4
변하다,4
넉넉하다,4
엄마,4
얼,4
생선회,4
맛없다,4
저녁식사,4
반하다,4
옆,4
듯,4
멋지다,4
사이드,4
주차장,4
돔회,4
상,4
설명,4
신선도,4
안내,4
조용하다,4
및,4
나,4
년,4
주병,4
덕분,4
직접,4
인생,4
서도,4
애,4
대접,4
필수,4
내장,3
참돔,3
써비스,3
첫,3
서빙,3
값,3
눈,3
절대,3
쫀득쫀득,3
어르신,3
내내,3
칭찬,3
탱탱하다,3
도,3
부족함,3
가능하다,3
안되다,3
개,3
가세,3
두께,3
뱅어,3
어수선하다,3
마무리,3
사항,3
감,3
관리,3
횟,3
최,3
곱다,3
여러,3
가깝다,3
쇼,3
차이,3
작년,3
상태,3
생전,3
저번,3
자체,3
등등,3
위해,3
전복죽,3
내,3
평점,3
비주,3
세번,3
각종,3
요청,3
섬,3
가득,3
각,3
미역국,3
리필,3
존맛,3
중요하다,3
물회,3
어른,3
무조건,3
주오,3
강,3
신선,3
인정,3
가시,3
일품,3
끼,3
회맛,3
밉다,3
센스,3
스타일,3
몇번,3
그대로,3
돈까스,3
고요,3
어머님,3
우리,3
멀리,3
샐러드,3
금액,3
쫄깃하,3
동안,3
시도,3
풍족하다,3
장소,3
입구,3
밖,3
온,3
생신,3
산책,3
탕,3
문어,3
계시다,3
쫄깃함,3
평범하다,3
질,3
어떻다,3
때문,3
게,3
냄새,3
가기,3
소개,3
거리,3
회의,3
그것,3
원,3
통통하다,3
대체로,3
추하다,2
궁금하다,2
짧다,2
애기,2
철저하다,2
칼,2
인분,2
부탁드리다,2
돌고래,2
지역,2
짐해,2
껍질,2
재활용,2
년전,2
화려하다,2
못,2
접대,2
셋,2
천지연폭포,2
장점,2
대가,2
가야,2
뼈,2
툼,2
단맛,2
보기,2
이정,2
로만,2
셋팅,2
웨이,2
필요하다,2
용량,2
은,2
딸,2
내년,2
볼,2
대해,2
기,2
의미,2
드,2
소스,2
홀,2
주네,2
데리,2
회정,2
든든하다,2
젓가락,2
일정,2
부부,2
모양,2
장사,2
절로,2
질도,2
굿굿,2
지금,2
비도,2
면,2
간이,2
여행가,2
맞이,2
죽,2
기념일,2
신기하다,2
속,2
믿음,2
모듬,2
구,2
마리,2
밋,2
쫄깃쫄깃,2
회집,2
실컷,2
보람,2
밑,2
전경,2
소리,2
겨울,2
특수,2
사실,2
사용,2
적극,2
가장,2
왜,2
충분하다,2
꿀맛,2
비롯,2
솜씨,2
픽업,2
다해,2
준비,2
확,2
친정,2
상추,2
탱글탱글하다,2
인지,2
또또,2
남편,2
까다롭다,2
품,2
서울,2
매장,2
무,2
인사,2
또한,2
영,2
점심,2
잔뜩,2
평이,2
이유,2
가도,2
귤,2
자리다,2
바가지,2
대신,2
당연하다,2
제공,2
보시,2
고맙다,2
석,2
전부,2
끊임없다,2
인스타,2
생일,2
죄송하다,2
블로그,2
부분,2
시끄럽다,2
맞은편,2
눈치,2
돈가스,2
여름,2
속도,2
값어치,2
도톰하다,2
쪽,2
창밖,2
조합,2
따뜻하다,2
가짓수,2
연어,2
다행,2
힘드다,2
좌석,2
화이팅,2
시장,2
시,2
단골,2
외식,2
오시,2
엄지,2
아버지,2
댓글,2
별도,2
두껍다,2
수준,2
살,2
흐,2
안나,2
제철,2
켯,2
모,2
일,2
이렇다,2
요즘,2
주신,2
더하다,2
척,2
마자,2
습,2
가리비,2
두툼,2
개운하다,2
이름,2
단연,2
산,2
정성,2
코,2
룻,2
심지어,2
진국,2
건물,2
노을,2
훨,2
실력,2
음식점,2
기름,2
하라,2
집중,2
현지,2
만찬,2
갈수,2
급,2
얼마,2
고해,2
뿌듯하다,2
도민,2
플레이,2
발렛,2
추,2
동생,2
신랑,2
간다,2
두,2
혼,2
이쁘다,2
나머지,2
남자친구,2
쌈,2
국,2
부도,2
어마어마하다,2
원래,2
양념장,2
소라,2
살짝,2
회스끼,2
주인,2
분과,2
지리,2
얼마나,2
매번,2
배정,2
순간,2
사업,2
천국,2
홀딱,2
원하다,2
죽도,2
바람,2
거의,2
희망,2
위주,2
헛갈려,2
발견,2
뻔,2
팀,2
오류로,2
양은,2
회사,2
싹싹,2
느리다,2
점원,1
데코,1
글쎄요,1
꼼꼼하다,1
굳다,1
기타등등,1
기도,1
나들이,1
전반,1
다운,1
땐,1
전만,1
우후,1
맛이엇다,1
땜,1
나왓다,1
점점,1
상상,1
아빠,1
영업,1
선정,1
쫄깃쫄깃했어,1
횟감들,1
새섬,1
감칠맛,1
거짓말,1
잘생기다,1
상위,1
정확하다,1
역대,1
식구,1
같아욤,1
도움,1
부산,1
토박이,1
엄청나다,1
회덮밥,1
테,1
술술,1
다,1
