,사업장명,업종구분대분류,업종구분소분류,인허가일자,인허가취소일자,영업상태명,상세영업상태명,폐업일자,휴업시작일자,휴업종료일자,재개업일자,소재지면적,소재지전체주소,도로명전체주소,도로명우편번호,데이터갱신일자
0,카페송키,일반음식점,기타,20181129,,영업/정상,영업,,,,,80.14,제주특별자치도 제주시 삼도이동 1120-2번지,"제주특별자치도 제주시 무근성안길 16, 1층 (삼도이동)",63166.0,2022-10-27
1,그림책방앤카페노란우산,일반음식점,기타,20181227,,영업/정상,영업,,,,,104.25,제주특별자치도 제주시 애월읍 광령리 2981-1번지 자연숲,"제주특별자치도 제주시 애월읍 하광로 515, 104동 102호 (자연숲)",63062.0,2022-10-27
2,에릭스에스프레소,일반음식점,기타,20181102,,영업/정상,영업,,,,,27.0,제주특별자치도 제주시 구좌읍 세화리 1397-6번지,"제주특별자치도 제주시 구좌읍 구좌로 77, 1층",63361.0,2022-10-27
3,일품순두부한림점,일반음식점,한식,20190107,,영업/정상,영업,,,,,152.0,제주특별자치도 제주시 한림읍 대림리 1845-2번지,"제주특별자치도 제주시 한림읍 한림상로 237, 1층",63030.0,2022-10-27
4,김복남맥주제주아라점,일반음식점,식육(숯불구이),20190107,,영업/정상,영업,,,,,82.0,제주특별자치도 제주시 아라일동 6139,"제주특별자치도 제주시 중앙로 581, 에이동 1층 (아라일동)",63248.0,2022-10-27
5,봉플라봉뱅,일반음식점,기타,20190107,,영업/정상,영업,,,,,58.94,제주특별자치도 제주시 연동 312-57번지 정인하우스,"제주특별자치도 제주시 문송1길 6-1, 정인하우스 1층 (연동)",63122.0,2022-10-27
6,아라포차,일반음식점,정종/대포집/소주방,20181102,,영업/정상,영업,,,,,107.9,제주특별자치도 제주시 아라일동 6138,"제주특별자치도 제주시 중앙로 573, 1층 (아라일동)",63248.0,2022-10-27
7,가빈거래처,일반음식점,기타,20181120,,영업/정상,영업,,,,,114.51,제주특별자치도 제주시 아라일동 368-81,"제주특별자치도 제주시 산천단동2길 13, 1층 (아라일동)",63243.0,2022-10-27
8,스톤아일랜드탭하우스,일반음식점,기타,20181102,,영업/정상,영업,,,,,180.0,제주특별자치도 제주시 연동 280-37,"제주특별자치도 제주시 삼무로7길 16, 1층 (연동)",63118.0,2022-10-27
9,레게펍,일반음식점,기타,20181105,,영업/정상,영업,,,,,30.2,제주특별자치도 제주시 한림읍 귀덕리 3019,,,2022-10-27
10,옹포분식,일반음식점,기타,20181204,,영업/정상,영업,,,,,46.14,제주특별자치도 제주시 한림읍 옹포리 127-15번지,"제주특별자치도 제주시 한림읍 월계로 15, 1층",63012.0,2022-10-27
11,연두랑고갈비,일반음식점,한식,20181204,,영업/정상,영업,,,,,54.46,제주특별자치도 제주시 도남동 67-9,"제주특별자치도 제주시 독짓골2길 10, 1층 (도남동)",63221.0,2022-10-27
12,협재더꽃돈본점,일반음식점,기타,20181204,,영업/정상,영업,,,,,117.78,제주특별자치도 제주시 한림읍 협재리 1781-1,"제주특별자치도 제주시 한림읍 한림로 366, 1층",63011.0,2022-10-27
13,우차도리,일반음식점,기타,20181204,,영업/정상,영업,,,,,118.7,제주특별자치도 제주시 도련일동 1977-5,"제주특별자치도 제주시 건주로6길 42, 1층 (도련일동)",63323.0,2022-10-27
14,솥돈가,일반음식점,식육(숯불구이),20181204,,영업/정상,영업,,,,,120.0,제주특별자치도 제주시 외도일동 495-6,"제주특별자치도 제주시 우정로 44, 1층 (외도일동)",63069.0,2022-10-27
15,와르다레스토랑,일반음식점,기타,20181105,,영업/정상,영업,,,,,42.64,제주특별자치도 제주시 삼도이동 148-3번지,"제주특별자치도 제주시 관덕로8길 24-1, 1층 (삼도이동)",63169.0,2022-10-27
16,길섶나그네,일반음식점,한식,20181120,,영업/정상,영업,,,,,250.0,제주특별자치도 제주시 조천읍 와산리 1303-6,"제주특별자치도 제주시 조천읍 미래로 241, 1층",63346.0,2022-10-27
17,사랑뜰,일반음식점,기타,20181120,,영업/정상,영업,,,,,16.5,제주특별자치도 제주시 한림읍 한림리 1419-1번지,"제주특별자치도 제주시 한림읍 한림로 662-1, 1층",63032.0,2022-10-27
18,불티나네,일반음식점,기타,20181122,,영업/정상,영업,,,,,123.0,제주특별자치도 제주시 애월읍 하귀2리 2720,"제주특별자치도 제주시 애월읍 가문동상2길 29-7, 1층",63050.0,2022-10-27
