word,count
맛있다,391
고기,301
좋다,211
돼지,145
맛,129
친절하다,107
있다,97
맛집,71
진짜,67
방문,66
또,57
제주,54
정말,49
가격,48
사장,47
곳,45
없다,45
제주도,45
이다,45
아이,39
항아리,39
직원,38
예약,37
서비스,37
편하다,35
여행,34
추천,33
최고,32
가성,32
넓다,31
비,30
다음,29
된장찌개,28
계란찜,27
픽업,27
때,26
많다,26
집,25
같다,25
매장,24
육즙,23
완전,23
반찬,23
식사,23
성산,23
꼭,23
여기,22
부드럽다,22
리뷰,21
수,21
더,21
신선하다,21
저렴하다,20
요,20
기분,20
괜찮다,19
아니다,19
굿,19
고사리,18
숙소,18
겹살,18
깔끔하다,18
성산일출봉,18
식당,18
그냥,18
밥,17
것,16
시간,16
음식,16
김치찌개,16
근처,16
재,16
거,15
다른,15
양도,15
가게,14
생각,14
주차,14
좋아하다,14
밑반찬,14
훈연,14
놀이,14
말,13
겹,13
바로,13
모두,13
가족,13
강추,13
역시,13
주문,12
중,12
사진,12
공간,11
향,11
번창,11
대박,11
아주,11
처음,11
냉면,11
훈,11
점,10
인정,10
좀,10
배,10
그렇다,10
주차장,10
호텔,10
제일,10
담,10
셀프,10
다시,10
미리,10
훈제,9
분,9
번,9
질,9
목살,9
애,9
입,9
가면,9
존맛,9
네이버,9
조금,9
만족하다,9
추가,9
숯불,9
착하다,8
직접,8
아쉽다,8
앞,8
보고,8
먹기,8
메뉴,8
안,8
콩나물,8
냄새,8
무조건,8
고깃집,8
사람,8
한번,8
하나,8
술,8
질도,7
일,7
쫀득,7
양,7
놀,7
찌개,7
만족,7
친구,7
기질,7
인분,7
데리,7
비싸다,7
쪽,7
젓,7
고기랑,7
인생,7
살이,7
테이블,7
깨끗하다,7
안되다,7
저,6
가기,6
마스크,6
야하다,6
좀더,6
정도,6
불,6
내,6
이번,6
이용,6
전,6
굿굿,6
제,6
우리,6
두툼,6
두번째,6
미치다,6
용,6
뷰,6
퀄리티,6
검색,6
아기,6
원,6
이렇다,6
온,5
해주시,5
편안하다,5
담백하다,5
듯,5
의사,5
주변,5
강,5
맛없다,5
함,5
도,5
분위기,5
준비,5
흙돼지,5
개인,5
모기,5
두껍다,5
필요없다,5
돼지고기,5
이집,5
오늘,5
대비,5
초벌,5
바,5
확실하다,5
덥다,5
고소하다,5
왜,5
별로,5
방이,5
기름기,5
휘닉스,5
예정,5
일반,5
그,5
비냉,5
모든,5
면,5
선택,4
판매,4
방,4
도민,4
얼마나,4
편이,4
손님,4
특별하다,4
작년,4
신경,4
부담,4
만,4
힘들다,4
김치,4
훌륭하다,4
필수,4
나물,4
야채,4
쫄깃,4
청결하다,4
시끄럽다,4
짐,4
보통,4
구이,4
가세,4
그대로,4
뭐,4
가깝다,4
달,4
이,4
별미,4
부모님,4
무엇,4
비계,4
방도,4
추하다,4
넉넉하다,4
지인,4
식감,4
삼겹살,4
기,4
만큼,4
편,4
자리,4
돈,4
정신,4
짱,4
야외,3
애기,3
일단,3
천원,3
제대로,3
만족스럽다,3
장난,3
전화,3
가장,3
안나,3
강력,3
맘,3
엄마,3
폭탄,3
쌈,3
부분,3
약하다,3
어디,3
찌게,3
옆,3
필터,3
다르다,3
술술,3
차이,3
이상,3
불편하다,3
진심,3
후회,3
찌,3
좌,3
등,3
단체,3
올해,3
엄지,3
때문,3
숙박,3
땐,3
저녁,3
거기,3
나쁘다,3
