사업장명,도로명전체주소,상세영업상태명
향촌마을식당,제주특별자치도 서귀포시 표선면 중산간동로 5269,영업
앤그리고,"제주특별자치도 서귀포시 이중섭로 11, 1층 110호 (서귀동)",영업
구피풋,"제주특별자치도 서귀포시 이중섭로 11, 1층 119호 (서귀동)",영업
바다를본돼지,"제주특별자치도 서귀포시 칠십리로 123, 2층 (서귀동)",영업
성산플로우,제주특별자치도 서귀포시 성산읍 일출로 242-1,영업
휴일로,"제주특별자치도 서귀포시 안덕면 난드르로 49-65, 가동",영업
샤르망,"제주특별자치도 서귀포시 태평로439번길 39, 2층 (서귀동)",영업
마린68,제주특별자치도 서귀포시 안덕면 사계남로 197,영업
버거트레인,"제주특별자치도 서귀포시 대정읍 중산간서로 2215, 1층",영업
까사디노아,제주특별자치도 서귀포시 안덕면 대평로 42,영업
처갓집양념치킨서귀포점,"제주특별자치도 서귀포시 이중섭로 11, 삼일아트리움 1층 102호 (서귀동)",영업
오른발왼발서귀포점,"제주특별자치도 서귀포시 이중섭로 11, 삼일아트리움 1층 108호 (서귀동)",영업
고기땡기네,"제주특별자치도 서귀포시 이중섭로 11, 삼일아트리움 1층 106호 (서귀동)",영업
통큰낙지서귀포점,"제주특별자치도 서귀포시 이중섭로 11, 삼일아트리움 1층 104~105호 (서귀동)",영업
고향길든솔,제주특별자치도 서귀포시 표선면 성읍이리로 32,영업
섬사람,"제주특별자치도 서귀포시 김정문화로 52, 민우상가 3호 (법환동)",영업
썬앤문(SUN&MOON),"제주특별자치도 서귀포시 안덕면 사계남로 102, 1,2층",영업
이디야서귀포동홍점,"제주특별자치도 서귀포시 동홍동로 9, 1층 (동홍동)",영업
성산짬뽕,"제주특별자치도 서귀포시 성산읍 성산중앙로25번길 13, 1층",영업
투하포,"제주특별자치도 서귀포시 이중섭로 11, 2층 206호 (서귀동)",영업
성산해나,제주특별자치도 서귀포시 성산읍 성산중앙로 30-1,영업
페를로,"제주특별자치도 서귀포시 안덕면 덕수회관로74번길 33, 1층",영업
한라막창,제주특별자치도 서귀포시 태평로 406 (서귀동),영업
비스트로가가,제주특별자치도 서귀포시 색달로 128 (색달동),영업
거기제주,제주특별자치도 서귀포시 대정읍 노을해안로 732,영업
서울야시장,"제주특별자치도 서귀포시 성산읍 일주동로 5113-1, 주희망교회",영업
부에난소라법환어촌계,제주특별자치도 서귀포시 최영로 10 (법환동),영업
아노야2호점,"제주특별자치도 서귀포시 대청로25번길 10-14, 1층 (강정동)",영업
제주정돈,제주특별자치도 서귀포시 남원읍 위미해안로 20,영업
허니문하우스,"제주특별자치도 서귀포시 칠십리로 228-13, 1층 (토평동)",영업
바른치킨(서귀포월드컵점),"제주특별자치도 서귀포시 선반로65번길 71, 1층 (강정동)",영업
모이세해장국중앙점,"제주특별자치도 서귀포시 일주동로 8642, 1층 (동홍동)",영업
집나간왕새우바람난조개남원점,제주특별자치도 서귀포시 남원읍 남원회관로 71,영업
카페초가헌,제주특별자치도 서귀포시 표선면 중산간동로 4628,영업
성산촌뚝배기,"제주특별자치도 서귀포시 성산읍 일출로 238-1, 1층",영업
딱새우701(숨비소리),제주특별자치도 서귀포시 월드컵로 192 (강정동),영업
우정곱창서귀포점,제주특별자치도 서귀포시 동홍남로 61 (동홍동),영업
열정돈,"제주특별자치도 서귀포시 성산읍 고성동서로 67, 1층",영업
무채색,"제주특별자치도 서귀포시 중문상로82번길 26, 2층 (중문동)",영업
문돈가,"제주특별자치도 서귀포시 안덕면 덕수회관로61번길 40, 1층",영업
큰돈가남쪽대표중문점,"제주특별자치도 서귀포시 천제연로 89, 1,2층 (색달동)",영업
당케축산정육식당,"제주특별자치도 서귀포시 표선면 민속해안로 580, 1층",영업
트라몬토제주모슬포본점,제주특별자치도 서귀포시 대정읍 하모항구로 38,영업
산방도감산방산본점,"제주특별자치도 서귀포시 안덕면 화순로 82, 1층",영업
산방산우리동네,제주특별자치도 서귀포시 안덕면 산방로 289,영업
오로지,"제주특별자치도 서귀포시 토평남로99번길 14, 1층 (토평동)",영업
신선초밥,"제주특별자치도 서귀포시 이중섭로 11, 2층 211호 (서귀동)",영업
싱싱횟집,"제주특별자치도 서귀포시 대정읍 하모항구로 56-1, 1층",영업
박김식당,"제주특별자치도 서귀포시 대정읍 영락중동로 30, 1층",영업
예래굼터,제주특별자치도 서귀포시 예래로 223 (하예동),영업
서가앤쿡서귀포시토평점,"제주특별자치도 서귀포시 검은여로 191, 1층 (토평동)",영업
ㅤㄸㅗㅅㅤㄸㅗㅅ,제주특별자치도 서귀포시 성산읍 환해장성로 559,영업
채우네소머리국밥,제주특별자치도 서귀포시 중앙로48번길 29 (서귀동),영업
색달어멍,제주특별자치도 서귀포시 색달중앙로 49 (색달동),영업
오빠야,"제주특별자치도 서귀포시 성산읍 고성동서로56번길 13, 1층",영업
187센티멘트,제주특별자치도 서귀포시 서문로28번길 3 (서귀동),영업
술고래,"제주특별자치도 서귀포시 중문상로17번길 4, A동 1,2호 (중문동)",영업
홍찜닭,"제주특별자치도 서귀포시 대정읍 보성구억로 209, 104호",영업
카페에서,"제주특별자치도 서귀포시 성산읍 해맞이해안로 2670, 1층",영업
스테이카페,"제주특별자치도 서귀포시 색달로72번길 22, 1층 (색달동)",영업
사해방,"제주특별자치도 서귀포시 천제연로 263, 돈델리 1층 (중문동)",영업
뼈해장순대해장돈풍년,제주특별자치도 서귀포시 안덕면 사계남로21번길 13,영업
밥통,제주특별자치도 서귀포시 남원읍 태위로 907,영업
산방산고등어쌈밥,"제주특별자치도 서귀포시 대정읍 형제해안로 316, 1층",영업
감산애안뜰,"제주특별자치도 서귀포시 안덕면 감산서로 14-6, A동",영업
헤라포차,"제주특별자치도 서귀포시 성산읍 성산등용로17번길 5, 헤라호텔 1층",영업
내가진짜떡볶이다서귀포점,"제주특별자치도 서귀포시 이중섭로 11, 2층 219호 (서귀동)",영업
고향제주,"제주특별자치도 서귀포시 태평로 36, 1층 (호근동)",영업
해주소반,"제주특별자치도 서귀포시 대정읍 글로벌에듀로 370, 105,106호",영업
은희네해장국중문점,제주특별자치도 서귀포시 중문관광로 348 (중문동),영업
오씨(OC),"제주특별자치도 서귀포시 표선면 표선중앙로43번길 16, 1층",영업
하모리초밥,제주특별자치도 서귀포시 대정읍 최남단해안로125번길 42,영업
정겨운식당,"제주특별자치도 서귀포시 동홍북로35번길 78-14, 1층 (동홍동)",영업
장군오리,"제주특별자치도 서귀포시 대정읍 일주서로2498번길 28, 1층",영업
고할망네,제주특별자치도 서귀포시 안덕면 사계남로 159-1,영업
탐나식당,제주특별자치도 서귀포시 중앙로 196 (동홍동),영업
중문이고집,제주특별자치도 서귀포시 천제연로213번길 5-2 (중문동)[*미고시],영업
낭꾸러기,제주특별자치도 서귀포시 대정읍 가파로 233,영업
블라썸,"제주특별자치도 서귀포시 남성로 136, 1층 (서홍동)",영업
불특정식당,"제주특별자치도 서귀포시 성산읍 삼달로 239, 1층",영업
엠버의국수가게,제주특별자치도 서귀포시 중앙로101번길 13-2 (서홍동),영업
느영나영,"제주특별자치도 서귀포시 남원읍 신흥로13번길 23, 1층",영업
은하수푸드,제주특별자치도 서귀포시 중산간동로 8007 (동홍동),영업
에스지중문,"제주특별자치도 서귀포시 천제연로 200, 3층 (중문동)",영업
바당회,"제주특별자치도 서귀포시 새왓로 6, 1층 101호 (서호동, 수림빌)",영업
흑돼지꿀꿀이,제주특별자치도 서귀포시 이어도로 933 (법환동),영업
갈비가맛있다,"제주특별자치도 서귀포시 대정읍 글로벌에듀로 370, 135호,136호동 1층",영업
해월일식,제주특별자치도 서귀포시 동홍중앙로 88 (동홍동),영업
천향각,"제주특별자치도 서귀포시 이중섭로 11, 삼일아트리움 2층 208호 (서귀동)",영업
제주흑돈세상수라간표선직영점,"제주특별자치도 서귀포시 표선면 표선당포로 23, 1층",영업
효동짬뽕,"제주특별자치도 서귀포시 성산읍 고성동서로 67, 2층",영업
60계치킨성산점,"제주특별자치도 서귀포시 성산읍 고성동서로56번길 2, 1층",영업
북촌삼대갈비동홍올레점,제주특별자치도 서귀포시 동홍북로 68 (동홍동),영업
한결식당,"제주특별자치도 서귀포시 남원읍 하신로 178-28, 1층",영업
토대력중문점,제주특별자치도 서귀포시 천제연로 172 (중문동),영업
몬탁영어교육도시점,"제주특별자치도 서귀포시 대정읍 글로벌에듀로 390, B동 1층 110호",영업
봄봄516점,제주특별자치도 서귀포시 516로 202 (토평동),영업
샤오츠,"제주특별자치도 서귀포시 성산읍 성산등용로17번길 55, 102-103호 (제주 성산 리치유 클래시아)",영업
소원김밥,제주특별자치도 서귀포시 쇠소깍로 160 (하효동),영업
삼성혈해물탕서귀포점,"제주특별자치도 서귀포시 서호남로32번길 31-1, 1층 (서호동)",영업
준이순대국밥,제주특별자치도 서귀포시 남원읍 남위남성로 10-2,영업
김치찜할래??삼겹살할래??,"제주특별자치도 서귀포시 태평로 487, 1층 (동홍동)",영업
명륜진사갈비중문점,제주특별자치도 서귀포시 1100로 6 (중문동),영업
성산한우,제주특별자치도 서귀포시 성산읍 일출로 253,영업
엠엔엘(MNL),제주특별자치도 서귀포시 동홍동로 38 (동홍동),영업
건축카페코르텐,제주특별자치도 서귀포시 태평로 569 (동홍동),영업
서귀포백돼지,제주특별자치도 서귀포시 칠십리로91번길 14 (서귀동),영업
신염천하마라탕,"제주특별자치도 서귀포시 표선면 표선중앙로96번길 6, 1층",영업
감미롭다제주,제주특별자치도 서귀포시 막동산로 8-3 (호근동),영업
피자탑서귀포점,제주특별자치도 서귀포시 일주동로 8720 (서홍동),영업
주구장창,제주특별자치도 서귀포시 중앙로89번길 2 (서귀동),영업
서양국수공방,제주특별자치도 서귀포시 태평로371번길 32 (서귀동),영업
현가네정식,제주특별자치도 서귀포시 중앙로71번길 7 (서귀동),영업
영실국수서귀포중문본점,제주특별자치도 서귀포시 일주서로 470 (하원동),영업
청주본가,"제주특별자치도 서귀포시 홍중로 11, 1층 (서홍동)",영업
그디가게,"제주특별자치도 서귀포시 성산읍 고성동서로 54, 2층",영업
은희네해장국표선점,"제주특별자치도 서귀포시 표선면 표선중앙로 8-4, 1층",영업
연담,제주특별자치도 서귀포시 천제연로207번길 20 (중문동),영업
엘림소반,"제주특별자치도 서귀포시 대정읍 추사로 288-6, 1층",영업
글라,"제주특별자치도 서귀포시 서문로41번길 28, 1층 (서귀동)",영업
"탐나는식당몸국,고사리해장국","제주특별자치도 서귀포시 하신상로 148, 1층 (신효동)",영업
석경초밥,"제주특별자치도 서귀포시 천지로 18, 1층 (서귀동)",영업
김명자굴국밥성산점,제주특별자치도 서귀포시 성산읍 성산중앙로 46-1,영업
더비욘드,"제주특별자치도 서귀포시 예래해안로 542, 4층 (상예동)",영업
더인티니티바,"제주특별자치도 서귀포시 예래해안로 542, B3층 (상예동)",영업
파노라마,"제주특별자치도 서귀포시 예래해안로 542, B2층 (상예동)",영업
천짓골식당,제주특별자치도 서귀포시 중앙로41번길 4 (서귀동),영업
벽옥반,제주특별자치도 서귀포시 동문로 30-2 (서귀동),영업
안거리밖거리,제주특별자치도 서귀포시 솔동산로 6-1 (서귀동),영업
별잔달잔,제주특별자치도 서귀포시 대정읍 신영로 101,영업
일호반식당,제주특별자치도 서귀포시 성산읍 고성오조로 87,영업
좋은가든,제주특별자치도 서귀포시 예래로 255-24 (하예동),영업
서귀포대정식당,제주특별자치도 서귀포시 중앙로89번길 17 (서귀동),영업
틈새식당,제주특별자치도 서귀포시 천제연로207번길 4 (중문동),영업
온더스톤브런치카페제주성산점,"제주특별자치도 서귀포시 성산읍 해맞이해안로 2746, H동 1~2층",영업
두마리찜닭두찜서귀포동홍점,제주특별자치도 서귀포시 중산간동로 8003 (동홍동),영업
월드컵흑돼지,제주특별자치도 서귀포시 월드컵로 74 (법환동),영업
대정추어탕전문,제주특별자치도 서귀포시 대정읍 상모로 296,영업
놀부내장탕,제주특별자치도 서귀포시 대정읍 영서중로 21-5,영업
정소암식당,제주특별자치도 서귀포시 표선면 서성일로 21,영업
보목해녀의집,제주특별자치도 서귀포시 보목포로 46 (보목동),영업
장보고 민물장어,제주특별자치도 서귀포시 대정읍 영서중로19번길 12,영업
조림명가,제주특별자치도 서귀포시 중앙로47번길 19 (서귀동),영업
BHC제주남원점,제주특별자치도 서귀포시 남원읍 남원회관로 55,영업
24시송가해장국,제주특별자치도 서귀포시 이중섭로 10 (서귀동),영업
풀사이드바(Poolside Bar),제주특별자치도 서귀포시 중문관광로72번길 75 (색달동),영업
제주버들못,제주특별자치도 서귀포시 표선면 표선중앙로32번길 36,영업
네네치킨대정점,"제주특별자치도 서귀포시 대정읍 하모항구로6번길 27, 1층",영업
뉴욕버거서귀포점,"제주특별자치도 서귀포시 동홍중앙로 52, 1층 (동홍동)",영업
산방산나들목,"제주특별자치도 서귀포시 안덕면 사계남로 189, 1층",영업
바다가보이는까떼커피,"제주특별자치도 서귀포시 표선면 민속해안로 594, 2층",영업
연탄불고기,"제주특별자치도 서귀포시 대정읍 상모로 322-1, 1층",영업
다이빙맛,"제주특별자치도 서귀포시 남원읍 남원체육관로40번길 3, 1층",영업
정은카페,"제주특별자치도 서귀포시 성산읍 동류암로39번길 9-1, 2층",영업
표선얼큰이신서귀포점,"제주특별자치도 서귀포시 신서귀로97번길 84, 2층 (강정동)",영업
동서순대,제주특별자치도 서귀포시 중앙로101번길 20 (서홍동),영업
(주)우리들리조트제주-그늘집2,제주특별자치도 서귀포시 산록남로 2914 (상효동),영업
주식회사더클래식씨씨,제주특별자치도 서귀포시 남원읍 남조로 1105,영업
한일수산횟집,제주특별자치도 서귀포시 홍중로 3 (서홍동),영업
남제주화력발전소 구내식당,제주특별자치도 서귀포시 안덕면 화순해안로106번길 55,영업
표선얼큰이와 피자디노 동홍점,제주특별자치도 서귀포시 동홍중앙로66번길 30-8 (동홍동),영업
오늘은춘봉이네,제주특별자치도 서귀포시 김정문화로 59 (서호동),영업
자담치킨제주남원점,제주특별자치도 서귀포시 남원읍 태위로679번길 12-1,영업
굽네치킨모슬포점,"제주특별자치도 서귀포시 대정읍 하모중앙로32번길 17, 1층",영업
윌라라,제주특별자치도 서귀포시 성산읍 성산중앙로 33,영업
로로417,제주특별자치도 서귀포시 태평로 417 (서귀동),영업
한가름,제주특별자치도 서귀포시 표선면 가시로565번길 16,영업
비스트로낭,제주특별자치도 서귀포시 안덕면 화순로 154-25,영업
온평마을일번지,"제주특별자치도 서귀포시 성산읍 환해장성로 803, 1층",영업
번네식당,제주특별자치도 서귀포시 안덕면 산방로 16,영업
토마토휴게소,"제주특별자치도 서귀포시 성산읍 성산등용로 96-7, 1층",영업
영춘반점,"제주특별자치도 서귀포시 중앙로 154, 1층 (서홍동)",영업
법환맛씸,"제주특별자치도 서귀포시 이어도로 907, 1층 (법환동)",영업
형아시횟집,제주특별자치도 서귀포시 이어도로 778-1 (강정동),영업
볼레낭개,"제주특별자치도 서귀포시 보목포로 3, 1층 (보목동)",영업
모슬포2호텔식당,"제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13, 1층",영업
순두부엔짬뽕,"제주특별자치도 서귀포시 새왓로 20, 1층 (서호동)",영업
일출제주흑돼지,"제주특별자치도 서귀포시 성산읍 일출로15번길 2, 1층",영업
베메로(BAKE MAKE ROAST),"제주특별자치도 서귀포시 중문관광로72번길 29-9, 라동 1,2층 (색달동)",영업
카페멘도롱,제주특별자치도 서귀포시 대정읍 하모항구로 70,영업
곤밥비빔밥,제주특별자치도 서귀포시 홍중로 13 (서홍동),영업
도두반점호텔더본점,"제주특별자치도 서귀포시 색달로 18, 지하1층 2호 (색달동)",영업
스시쿄다이,제주특별자치도 서귀포시 동홍남로 53 (동홍동),영업
이비가짬뽕신화월드점,"제주특별자치도 서귀포시 안덕면 신화역사로 502, 2층",영업
